CHR,POS,p_value,effect_size,AGI_ID
1,21936296,2.1931757323700595e-06,0.0003018221630849,AT1G59700
3,5456144,2.168481826809927e-06,0.0014152985245713,AT3G16090
3,6187294,1.5461313346129394e-06,-0.0013431243649058,AT3G18070
4,9318442,7.977500952613397e-07,0.0529438502384041,AT4G16545
4,10237572,1.120785328823518e-06,0.0020139341167066,AT4G18593
4,18036092,2.926096751765505e-06,0.0232131336950266,AT4G38590
5,3201518,1.7106926631691338e-06,-0.0014775704694778,AT5G10200
5,6275990,2.30409672643978e-07,0.0013825896475929,AT5G18830
5,7086653,4.367621657184714e-07,-0.0004203194271917,AT5G20890
5,7810683,2.930996377179953e-06,-0.0001375020545424,AT5G23210
5,8535282,3.9516788048027746e-10,-0.0010811052040203,AT5G24850
5,19598523,2.762114391647193e-06,-0.0013667003128137,AT5G48370
