CHR,POS,p_value,effect_size,AGI_ID
1,17021610,5.391973415458561e-09,75.67130722654673,AT1G45015
1,17660752,5.021197473695426e-07,34.23235531163077,AT1G47915
1,20008996,1.0220453971100221e-07,374.1479037833728,AT1G53610
1,24115137,1.6471019776673095e-09,292.9431598833627,AT1G64910
1,29467437,3.348103289937877e-13,6.870930342599828,AT1G78320
2,4341123,8.792931577001042e-09,2.605821618919137,AT2G11000
2,6941590,5.6620611457607955e-09,16.41570461402929,NA
2,7499477,5.092428205552323e-07,4.023145758962726,AT2G17250
2,8253416,5.8708897605255305e-09,124.17520465957227,AT2G19050
2,11077488,5.235367319789838e-10,7.277152266727636,AT2G25980
2,17643334,8.152482170868971e-09,-13.346608748124837,AT2G42370
2,18280623,5.332544736478034e-09,0.4820227686830305,AT2G44210
2,18608824,4.561651326979024e-08,8.661401947700469,AT2G45135
2,19191935,1.20703354597607e-07,-1.219911662767195,AT2G46710
3,418459,3.789344121949152e-07,52.45663274698638,AT3G02240
3,4779688,9.302192743876899e-10,6.121853774687509,AT3G14330
3,16886226,1.1842345719673597e-07,3.212097451861332,AT3G45940
4,231780,2.7300050369203585e-08,14.289243781088809,AT4G00525
4,816210,1.8473840361756166e-09,274.8672163703798,AT4G01890
4,6336023,1.2897870836828122e-11,33.753090643776176,AT4G10160
5,3599001,1.5439700911306554e-10,174.3522010401653,AT5G11290
