CHR,POS,p_value,effect_size,AGI_ID
1,5137014,3.7596233202659803e-07,0.057078993998533,AT1G14890
1,17660752,1.2653844629499683e-09,-1.1951505386164691,AT1G47915
1,17661095,1.2816364572403517e-08,-0.1539882273750264,AT1G47920
1,29467437,3.4506630648237385e-08,-0.1539377772414715,AT1G78320
3,8194679,1.0205846178687488e-06,0.0082958243953881,AT3G23050
3,16886226,1.9794094779444537e-08,-0.1011101606662401,AT3G45940
3,22939546,8.761693872917342e-07,-0.1292470918562046,AT3G61950
4,231780,7.090893521548127e-07,-0.376172764726104,AT4G00525
4,816210,2.6379746415617485e-07,-7.020886883445173,AT4G01890
5,3599001,5.080432726416917e-07,-4.077140978439106,AT5G11290
5,3638431,4.7769488027860944e-08,-0.5387393335487329,AT5G11410
