CHR,POS,p_value,effect_size,AGI_ID
1,16041656,3.532574420136697e-09,0.3894624059794946,AT1G42680
2,6533687,3.1841270164296433e-08,0.0212431395495026,AT2G15080
2,8810739,3.4103336402833146e-08,-0.164892525358647,AT2G20440
2,12225842,2.476225676408066e-08,0.0149639768492552,AT2G28550
2,16002263,1.1228048284887405e-07,0.5294681552343167,AT2G38195
2,16922587,2.121335848944128e-09,0.0479089548938521,AT2G40520
3,21134924,1.3965861563938889e-08,0.8721467832483679,AT3G57110
5,3173497,7.532729828081275e-11,0.0064647525560879,AT5G10140
5,17886194,6.991496156430897e-08,0.0552854497297854,AT5G44400
5,25318752,4.0843993646809546e-11,-0.1186824769092219,AT5G63120
