CHR,POS,p_value,effect_size,AGI_ID
1,5779021,2.69453713839191e-07,-0.0632816756695801,AT1G16900
1,7007756,4.5615633798114454e-08,-0.0498514801766529,AT1G20225
1,17021610,2.705851506368619e-09,-2.5462569265311057,AT1G45015
1,17660752,1.1251042921688091e-08,-1.270984085397494,AT1G47915
1,17661095,4.1509187694259744e-08,-0.1675385493472704,AT1G47920
1,29467437,3.190625955649429e-09,-0.1855119897948319,AT1G78320
2,732388,6.624195409192703e-07,-7.367112573456992,AT2G02640
2,1513512,3.2810388923992225e-07,-0.1213119153779426,AT2G04340
2,5315038,1.3702792977375588e-08,-0.2155510731142233,AT2G12935
2,6272491,9.814607527498677e-07,-0.3200621657803661,AT2G14660
2,6941590,4.5493502737977403e-07,-0.4700640992638717,NA
2,8253416,1.677781360845906e-07,-3.715227775039394,AT2G19050
2,18280623,3.452123587378477e-08,-0.0150051628896118,AT2G44210
2,18608824,9.133836489052369e-08,-0.287101256803171,AT2G45135
2,19191935,5.006314234929812e-07,0.0374383366415324,AT2G46710
3,4779688,3.4751077227766854e-08,-0.1790889022046446,AT3G14330
3,8194679,1.6071380081470534e-06,0.0093015453583501,AT3G23050
3,16886226,2.3467237699003428e-08,-0.1120806848161277,AT3G45940
4,231780,1.556506187246895e-08,-0.4815090841081906,AT4G00525
4,816210,1.0576044297774596e-07,-8.091441174752203,AT4G01890
4,6336023,1.6406963946145302e-08,-0.939283328785924,AT4G10160
5,3599001,1.5636738377209145e-08,-5.109597070493305,AT5G11290
5,3638431,4.9343338177022576e-08,-0.6047993993147778,AT5G11410
5,17409524,9.927929658126854e-07,-0.5236259240373068,AT5G43360
5,25932290,9.80895208716206e-07,-0.1424272804870621,AT5G64880
5,26439013,2.301301726032532e-07,-0.3450632738426987,AT5G66150
