CHR,POS,p_value,effect_size,AGI_ID
1,5779021,5.516373451299409e-07,-0.0542743921141671,AT1G16900
1,7007756,5.766110561607142e-07,-0.041860430667793,AT1G20225
1,17021610,2.8016918935958892e-08,-2.1736492184724066,AT1G45015
1,17660752,2.1339713999779985e-07,-1.055876002205744,AT1G47915
1,17661095,1.1613770938680328e-06,-0.1365128642668966,AT1G47920
1,29467437,7.193875069465475e-08,-0.155061079848769,AT1G78320
2,1513512,1.643019728340029e-06,-0.1039291517277233,AT2G04340
2,8253416,1.178363348693785e-06,-3.156268424171845,AT2G19050
2,11512861,1.497164403025694e-06,-0.0551093522128065,AT2G26975
2,18280623,4.859924660414344e-08,-0.0134922945769472,AT2G44210
2,18608824,1.4014767140604592e-06,-0.2320123982639422,AT2G45135
2,19191935,6.219007430145434e-07,0.0340230243050714,AT2G46710
3,4779688,1.7274396624414161e-07,-0.1561157469283784,AT3G14330
3,8194679,1.705061402706482e-06,0.0085141644014558,AT3G23050
3,16886226,3.881818344235957e-07,-0.0932040245187116,AT3G45940
4,231780,2.5909317628260052e-08,-0.4293699210041053,AT4G00525
4,816210,3.0993664388070826e-07,-7.118478251502803,AT4G01890
4,6336023,4.442399696281579e-07,-0.7699832197349847,AT4G10160
5,3599001,2.345811525319299e-09,-4.911966703284531,AT5G11290
5,3638431,1.2439998846837612e-07,-0.5326917636009757,AT5G11410
5,25932290,7.837008575853242e-07,-0.1311442787661305,AT5G64880
5,26439013,9.449161638856952e-07,-0.2988520002752692,AT5G66150
