CHR,POS,p_value,effect_size,AGI_ID
1,3076582,1.4757405048136883e-10,-0.0057265407182939,AT1G09530
1,8327312,1.158583496213604e-09,-0.0142213376028669,AT1G23460
2,8810739,6.1481610129127e-16,-0.0193707020051901,AT2G20440
2,18807538,3.0413808468573074e-14,-0.0011196907206901,AT2G45660
3,1653264,2.416601640006321e-09,-0.0082501226687923,AT3G05670
3,3137362,2.494418746516478e-08,-0.0237053472933642,AT3G10150
3,6616352,2.4370413673681545e-08,-0.0077534135246604,AT3G19150
3,19452254,1.6038615392382327e-08,-0.0159314849180724,AT3G52480
3,21444321,2.378981601884201e-12,-0.039216700942149,AT3G57920
5,3173497,1.6300355062945253e-14,0.0004531705307921,AT5G10140
5,9036018,6.58236780446426e-08,0.0023984265015401,AT5G25900
5,25318752,7.094588739845771e-18,-0.0144197793426723,AT5G63120
5,26939159,4.44657393424152e-08,-0.00423501569966,AT5G67520
