CHR,POS,p_value,effect_size,AGI_ID
2,592359,1.961942569492246e-07,-0.0008830368708617,AT2G02240
2,1417182,6.452443262449359e-07,-5.782735210935676e-05,AT2G04170
2,9704706,5.522208546932644e-07,-0.0005724947583586,AT2G22800
2,9753631,3.482742613632492e-07,-0.0001327324131149,AT2G22920
4,281313,4.136954043020491e-07,-0.0036645778281978,AT4G00690
4,6276998,1.6936690944190296e-07,-0.0005043895614902,AT4G10040
4,11306945,1.619391989191428e-07,0.0001162894300829,AT4G21210
5,3201518,6.100801605257501e-09,-0.0012762881864533,AT5G10200
5,8535282,1.0329897195941504e-08,-0.0007212176560061,AT5G24850
5,8739709,1.794122231707751e-07,-0.0002834274026332,AT5G25230
