CHR,POS,p_value,effect_size,AGI_ID
1,3076582,7.927504263983341e-09,-0.0299322825914987,AT1G09530
1,8432179,3.173667190069888e-06,-0.0115703341211906,AT1G23870
1,12877107,3.2230514248115697e-12,-0.161005307449696,AT1G35180
1,27481785,1.9787595184506058e-06,0.2218154868440204,AT1G73065
1,30415837,2.6761469448938772e-08,0.0336553036953588,AT1G80960
2,8810739,8.385859990382743e-12,-0.0961519658292511,AT2G20440
2,13944611,3.759976787784145e-06,-0.0030173338910605,AT2G32870
2,18807538,3.379488203727224e-11,-0.0056817409135558,AT2G45660
3,602433,4.1960851000763286e-08,0.0159027949525575,AT3G02780
3,979984,3.774240503543748e-06,0.0890164020453985,AT3G03830
3,1653264,1.961989471841421e-06,-0.0398724185743434,AT3G05670
3,3137362,3.565514094735737e-07,-0.1215362279239178,AT3G10150
3,6616352,3.388542952632789e-06,-0.0377661641042824,AT3G19150
3,19452254,1.4999568614547414e-08,-0.0898639072258892,AT3G52480
3,21177423,3.4198372148923897e-07,-0.0410390544196462,AT3G57230
3,21444321,2.862696843165033e-07,-0.1650505058057918,AT3G57920
4,5159034,9.902989183484551e-07,-0.071919710273658,AT4G08160
4,9601451,1.3182355253222212e-06,-0.0291981432821305,AT4G17080
4,12670965,2.2547430945018527e-09,-0.0306504646023697,AT4G24540
4,16152926,3.218261256783907e-07,-0.0122914923170389,AT4G33625
5,900460,3.1962339032785805e-06,0.0401892147550924,AT5G03560
5,1892714,2.719784763820312e-06,-0.2966899717039711,AT5G06250
5,3173497,3.3205184040804766e-10,0.002225126661081,AT5G10140
5,6556420,2.771234901688601e-06,0.0093518428381724,AT5G19440
5,8172316,4.790409826122991e-08,-0.0048764362114243,AT5G24150
5,9036018,6.633913837841731e-09,0.0142661753954176,AT5G25900
5,20011879,2.651020665738717e-06,-0.0012988790383597,AT5G49360
5,20969443,1.7482949035949476e-06,0.0179415477381912,AT5G51630
5,22369095,1.340349719551687e-09,-0.0164179025865427,AT5G55120
5,22838672,3.934912489628697e-08,0.0147012955185859,AT5G56380
5,24502482,6.561967671175846e-07,-0.0594683561842951,AT5G60910
5,25318752,9.315577351397208e-23,-0.0980603467889168,AT5G63120
