CHR,POS,p_value,effect_size,AGI_ID
1,463855,1.4436671802098422e-06,-0.0105463535350227,AT1G02335
1,2631068,4.358093767539409e-06,-0.0384120112512789,AT1G08340
1,7252174,8.341620614769684e-07,-0.0044410483941351,AT1G20850
1,9292446,1.496433926710544e-06,-0.0190345166050974,AT1G26820
1,11546338,9.508398458154538e-07,-0.0071201860734456,AT1G32100
2,11822732,4.645503545677243e-06,-0.0375990835987834,AT2G27740
2,16840147,1.78429102054195e-07,-0.034073966625226,AT2G40320
3,20780315,4.4137565379307784e-08,-0.0190651197358531,AT3G55990
4,8092833,1.1466052345595488e-07,-0.0156186181323827,AT4G14010
4,12574812,3.2327697460144283e-06,-0.0794722678057189,AT4G24250
4,16059754,2.635700232067667e-06,-0.0760878942285672,AT4G33330
5,3173497,4.227290070108324e-07,0.0005829217650266,AT5G10140
5,4062724,1.0376067623815369e-06,-0.0972713088562549,AT5G12870
5,25318752,4.832567917480985e-08,-0.0117817176285533,AT5G63120
