CHR,POS,p_value,effect_size,AGI_ID
1,3076582,1.4540224733240294e-09,-0.031111073724127,AT1G09530
1,12877107,4.648805993522888e-12,-0.1585232063815372,AT1G35180
1,30415837,6.646299304802283e-08,0.0324040914873896,AT1G80960
2,8810739,1.2251773725162008e-11,-0.0945703169045892,AT2G20440
2,18807538,4.784076091953936e-12,-0.0058755071894749,AT2G45660
3,602433,4.8296066745726926e-08,0.0157245345305544,AT3G02780
3,1653264,9.191281274669266e-07,-0.0407632225232047,AT3G05670
3,3137362,1.1411668556279432e-07,-0.1253500247622986,AT3G10150
3,6616352,1.6700806205835304e-06,-0.0386199891646089,AT3G19150
3,19452254,1.463166188263051e-08,-0.0891974601641298,AT3G52480
3,21177423,1.0909035390654372e-07,-0.0423795290948406,AT3G57230
3,21444321,1.5899018391155637e-07,-0.1672189518821643,AT3G57920
4,12670965,7.230103533774161e-10,-0.0312807898160897,AT4G24540
4,16152926,3.109002770269718e-07,-0.0122385292232884,AT4G33625
5,900460,1.400400806331764e-06,0.0411798251092998,AT5G03560
5,3173497,2.11856110783002e-11,0.0023532587256347,AT5G10140
5,8172316,3.922166818043945e-08,-0.0048654208598602,AT5G24150
5,9036018,2.184287707650178e-09,0.0145436255752072,AT5G25900
5,20969443,2.003890895920368e-06,0.0176551010436804,AT5G51630
5,22369095,5.916763696424077e-10,-0.0166192870984468,AT5G55120
5,22838672,1.2526416023758488e-07,0.0140416428984937,AT5G56380
5,24502482,3.225334170184041e-07,-0.0606716151651123,AT5G60910
5,25318752,1.98712936438744e-23,-0.0989863421309883,AT5G63120
