CHR,POS,p_value,effect_size,AGI_ID
1,25763623,7.645092661661842e-07,0.0288219290715471,AT1G68610
2,13041085,3.545078272129114e-06,-0.0379917830838824,AT2G30615
2,17690531,3.473121675821504e-06,-0.0020812473607252,AT2G42485
4,9318442,1.1291766406456694e-06,0.0359186638713917,AT4G16545
5,3201518,3.514355801568273e-07,-0.0010784244530653,AT5G10200
5,4984959,1.8702350628949105e-06,-0.0001030708816764,AT5G15350
5,6275990,2.9585145528755182e-06,0.0008616721827895,AT5G18830
5,8535282,1.403666985012217e-07,-0.0006308382519905,AT5G24850
5,19356356,9.357095160635724e-07,0.0007645508613758,AT5G47800
5,25618606,1.50430537710182e-06,0.0004901575169238,AT5G64010
