CHR,POS,p_value,effect_size,AGI_ID
1,7007756,6.365086569448674e-07,-0.0439423836039057,AT1G20225
1,17021610,9.215498645854341e-08,-2.2052602810159594,AT1G45015
1,17660752,2.6577882968345413e-08,-1.1907572210419972,AT1G47915
1,17661095,9.686164040767521e-08,-0.1572244010880574,AT1G47920
1,29467437,3.11243573591199e-08,-0.1675182675669144,AT1G78320
2,1513512,9.677167229484922e-07,-0.1117286326596357,AT2G04340
2,5315038,5.90824278299071e-07,-0.1786842332668937,AT2G12935
2,8253416,4.459669962635989e-07,-3.4499497985364727,AT2G19050
2,11512861,2.2769147695780617e-07,-0.0623430457545717,AT2G26975
2,18280623,5.304933170051972e-08,-0.0142039373415945,AT2G44210
2,18608824,2.526306797951379e-07,-0.2605417819564342,AT2G45135
2,19191935,4.1553044565668425e-07,0.0365799330608168,AT2G46710
3,4779688,9.104937505602465e-08,-0.1688202801248469,AT3G14330
3,16886226,9.983777315307957e-08,-0.1028994146714648,AT3G45940
4,231780,7.295484844009807e-09,-0.4697607568249737,AT4G00525
4,816210,1.5233546664186996e-07,-7.708182929817507,AT4G01890
4,6336023,3.679161288047138e-07,-0.8176813315450498,AT4G10160
5,3599001,3.035817457540296e-10,-5.445098756282539,AT5G11290
5,3638431,3.1383030179887405e-08,-0.5869281620427313,AT5G11410
5,17409524,1.3006125625315476e-06,-0.4975345272670929,AT5G43360
5,25932290,1.07482524788977e-06,-0.1371112932496359,AT5G64880
5,26439013,6.874690522173715e-07,-0.3199634902788371,AT5G66150
