CHR,POS,p_value,effect_size,AGI_ID
1,8435657,3.02125011223186e-07,0.0038061953540769,AT1G23880
1,21936296,8.965607918251851e-07,0.000347946268482,AT1G59700
1,25763623,2.889734392041224e-06,0.0438150928438429,AT1G68610
2,10044179,1.962108105190529e-06,-0.0001473301426166,AT2G23610
3,5456144,3.349708812902724e-06,0.0014870018349779,AT3G16090
3,6187294,1.1017779113341443e-06,-0.0014959171842109,AT3G18070
4,9318442,1.6029090904060128e-06,0.0572303814862405,AT4G16545
4,10237572,4.694076343053984e-07,0.0022758294199583,AT4G18593
5,3201518,4.09906149352718e-06,-0.0015284982685348,AT5G10200
5,6275990,2.903587701611573e-06,0.0013473987862844,AT5G18830
5,7086653,4.196983760458663e-06,-0.0004088559023408,AT5G20890
5,7810683,3.5055697915286106e-06,-0.0001435160059105,AT5G23210
5,8535282,1.165975390975191e-09,-0.0011487943709707,AT5G24850
5,8739709,2.8835569276819576e-06,-0.0003838690135353,AT5G25230
5,19356356,1.8494975097808e-06,0.0011860569201152,AT5G47800
