CHR,POS,p_value,effect_size,AGI_ID
1,12219657,2.007094646837233e-17,-0.011185448314548,AT1G33710
1,17660752,1.2844907037606936e-24,-0.0081385932150558,AT1G47915
1,17661095,6.2717741876920784e-27,-0.0011630853752971,AT1G47920
1,19568588,2.47245232568284e-12,-0.0044631100629336,AT1G52530
1,24115137,5.71809477379455e-13,-0.0432308269212206,AT1G64910
1,29467437,1.856138738093134e-16,-0.0009491449082276,AT1G78320
2,732388,3.138458068223695e-18,-0.0467364833950182,AT2G02640
2,5315038,3.4398989799226766e-16,-0.0011119903028682,AT2G12935
2,6272491,9.058657974323456e-15,-0.0018537067046954,AT2G14660
2,11123430,8.624081584920639e-13,-0.0277993734356239,AT2G26120
2,18742540,4.775432252865031e-10,-4.692833422052579e-05,AT2G45470
3,1145757,9.890329140980264e-15,-0.0251920259257206,AT3G04330
3,16886226,5.961951323122232e-20,-0.0006682237834787,AT3G45940
3,22939546,2.874294222565457e-11,-0.0007301571495787,AT3G61950
4,816210,8.191967466405843e-21,-0.0515674231024295,AT4G01890
5,1155055,3.525282282902098e-11,-0.0046509471048742,AT5G04210
5,3599001,2.822379672233206e-13,-0.0245832820342332,AT5G11290
